rownum,bioassay_id,material_id,cell_type_id,nanoparticle,type_organic_inorganic,coat,diameter,dose,zeta_potential,cell_type,cell_line_or_primary,human_or_animal,animal_species,cell_morphology,cell_age_embryonic_or_adult,cell_organ_or_tissue,exposure_time,test_assay,test_indicator,biochemical_metric,cell_viability,inference_checked_y_n,colloidal_stability_checked_y_n,positive_control_y_n,publication_year,particle_id,reference_doi
525,43,36,28,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,Live/Dead,trypan blue,cell membrane integrity,55.113636,Y,N,N,2012,19,10.1186/1556-276X-7-77
526,43,36,28,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,92.61364,Y,N,N,2012,19,10.1186/1556-276X-7-77
527,43,36,28,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,75.568184,Y,N,N,2012,19,10.1186/1556-276X-7-77
528,43,36,28,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,74.431816,Y,N,N,2012,19,10.1186/1556-276X-7-77
529,43,36,28,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,53.409092,Y,N,N,2012,19,10.1186/1556-276X-7-77
530,43,36,28,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,43.75,Y,N,N,2012,19,10.1186/1556-276X-7-77
531,43,36,28,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,69.88636,Y,N,N,2012,19,10.1186/1556-276X-7-77
532,43,36,28,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,61.93182,Y,N,N,2012,19,10.1186/1556-276X-7-77
533,43,36,28,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,55.113636,Y,N,N,2012,19,10.1186/1556-276X-7-77
534,43,36,28,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,50.56818,Y,N,N,2012,19,10.1186/1556-276X-7-77
535,43,36,28,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,32.954544,Y,N,N,2012,19,10.1186/1556-276X-7-77
536,44,36,27,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,92.11166,Y,N,N,2012,19,10.1186/1556-276X-7-77
537,44,36,27,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,92.1278825,Y,N,N,2012,19,10.1186/1556-276X-7-77
538,44,36,27,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,92.141609,Y,N,N,2012,19,10.1186/1556-276X-7-77
539,44,36,27,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,90.741489,Y,N,N,2012,19,10.1186/1556-276X-7-77
540,44,36,27,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,91.701108,Y,N,N,2012,19,10.1186/1556-276X-7-77
541,44,36,27,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,93.644055,Y,N,N,2012,19,10.1186/1556-276X-7-77
542,44,36,27,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,93.6590295,Y,N,N,2012,19,10.1186/1556-276X-7-77
543,44,36,27,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,95.0878506,Y,N,N,2012,19,10.1186/1556-276X-7-77
544,44,36,27,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,95.105321,Y,N,N,2012,19,10.1186/1556-276X-7-77
545,44,36,27,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,91.820905,Y,N,N,2012,19,10.1186/1556-276X-7-77
546,44,36,27,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,96.122342,Y,N,N,2012,19,10.1186/1556-276X-7-77
547,44,36,27,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,97.551163,Y,N,N,2012,19,10.1186/1556-276X-7-77
548,44,36,27,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,96.152291,Y,N,N,2012,19,10.1186/1556-276X-7-77
549,44,36,27,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,94.7521715,Y,N,N,2012,19,10.1186/1556-276X-7-77
550,44,36,27,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,85.335679,Y,N,N,2012,19,10.1186/1556-276X-7-77
551,44,36,27,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,23.12519,Y,N,N,2012,19,10.1186/1556-276X-7-77
552,44,36,27,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,23.14016,Y,N,N,2012,19,10.1186/1556-276X-7-77
553,44,36,27,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,28.81801,Y,N,N,2012,19,10.1186/1556-276X-7-77
554,44,36,27,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,38.266945,Y,N,N,2012,19,10.1186/1556-276X-7-77
555,44,36,27,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,34.50958,Y,N,N,2012,19,10.1186/1556-276X-7-77
556,45,36,28,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,94.855769,Y,N,N,2012,19,10.1186/1556-276X-7-77
557,45,36,28,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,93.9800825,Y,N,N,2012,19,10.1186/1556-276X-7-77
558,45,36,28,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,93.995932,Y,N,N,2012,19,10.1186/1556-276X-7-77
559,45,36,28,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,93.116283,Y,N,N,2012,19,10.1186/1556-276X-7-77
560,45,36,28,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,93.133453,Y,N,N,2012,19,10.1186/1556-276X-7-77
561,45,36,28,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,93.6327133,Y,N,N,2012,19,10.1186/1556-276X-7-77
562,45,36,28,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,93.199493,Y,N,N,2012,19,10.1186/1556-276X-7-77
563,45,36,28,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,94.1095204,Y,N,N,2012,19,10.1186/1556-276X-7-77
564,45,36,28,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,92.787405,Y,N,N,2012,19,10.1186/1556-276X-7-77
565,45,36,28,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,96.3720415,Y,N,N,2012,19,10.1186/1556-276X-7-77
566,45,36,28,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,93.301194,Y,N,N,2012,19,10.1186/1556-276X-7-77
567,45,36,28,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,92.869294,Y,N,N,2012,19,10.1186/1556-276X-7-77
568,45,36,28,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,92.436074,Y,N,N,2012,19,10.1186/1556-276X-7-77
569,45,36,28,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,91.113958,Y,N,N,2012,19,10.1186/1556-276X-7-77
570,45,36,28,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,91.132449,Y,N,N,2012,19,10.1186/1556-276X-7-77
571,45,36,28,Iron oxide,I,PEG to the PEI,361.4,2.00022891e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,88.05896,Y,N,N,2012,19,10.1186/1556-276X-7-77
572,45,36,28,Iron oxide,I,PEG to the PEI,361.4,4.00686882e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,88.072168,Y,N,N,2012,19,10.1186/1556-276X-7-77
573,45,36,28,Iron oxide,I,PEG to the PEI,361.4,8.01373765e-08,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,89.871091,Y,N,N,2012,19,10.1186/1556-276X-7-77
574,45,36,28,Iron oxide,I,PEG to the PEI,361.4,1.602747531e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,90.333368,Y,N,N,2012,19,10.1186/1556-276X-7-77
575,45,36,28,Iron oxide,I,PEG to the PEI,361.4,3.205495062e-07,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,91.689825,Y,N,N,2012,19,10.1186/1556-276X-7-77
576,46,37,29,Iron oxide,I,PEG,16.0,0.002955218493,,HMEC-1,L,H,Human,Endothelial-like,E,Skin,24,ATPLite,luciferase,ATP content,109.81651,N,N,N,2015,20,10.3762/bjnano.6.28
577,46,37,29,Iron oxide,I,PEG,16.0,0.002955218493,,HMEC-1,L,H,Human,Endothelial-like,E,Skin,72,ATPLite,luciferase,ATP content,111.48148,N,N,N,2015,20,10.3762/bjnano.6.28
578,46,38,29,Iron oxide,I,PEG-NH2,16.0,0.002955218493,,HMEC-1,L,H,Human,Endothelial-like,E,Skin,24,ATPLite,luciferase,ATP content,86.69725,N,N,N,2015,20,10.3762/bjnano.6.28
579,46,38,29,Iron oxide,I,PEG-NH2,16.0,0.002955218493,,HMEC-1,L,H,Human,Endothelial-like,E,Skin,72,ATPLite,luciferase,ATP content,79.07407,N,N,N,2015,20,10.3762/bjnano.6.28
580,5,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,94.38202,N,Y,N,2011,21,10.1007/s10565-011-9191-9
581,5,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,94.38202,N,Y,N,2011,21,10.1007/s10565-011-9191-9
582,5,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,21,10.1007/s10565-011-9191-9
583,5,39,4,Iron oxide,I,,957.0,6.905318e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,21,10.1007/s10565-011-9191-9
584,5,39,4,Iron oxide,I,,957.0,3.4526594e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,100.0,N,Y,N,2011,21,10.1007/s10565-011-9191-9
585,5,39,4,Iron oxide,I,,957.0,6.9053188e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,98.8764,N,Y,N,2011,21,10.1007/s10565-011-9191-9
586,5,39,4,Iron oxide,I,,957.0,1.38106376e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,21,10.1007/s10565-011-9191-9
587,5,39,4,Iron oxide,I,,957.0,3.45265941e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,21,10.1007/s10565-011-9191-9
588,5,39,4,Iron oxide,I,,957.0,6.90531882e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,MTT,tetrazolium salt,cell metabolic activity,95.505615,N,Y,N,2011,21,10.1007/s10565-011-9191-9
589,5,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,96.62921,N,Y,N,2011,21,10.1007/s10565-011-9191-9
590,5,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,21,10.1007/s10565-011-9191-9
591,5,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,97.75281,N,Y,N,2011,21,10.1007/s10565-011-9191-9
592,5,39,4,Iron oxide,I,,957.0,6.905318e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,93.25843,N,Y,N,2011,21,10.1007/s10565-011-9191-9
593,5,39,4,Iron oxide,I,,957.0,3.4526594e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,88.764046,N,Y,N,2011,21,10.1007/s10565-011-9191-9
594,5,39,4,Iron oxide,I,,957.0,6.9053188e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,89.88764,N,Y,N,2011,21,10.1007/s10565-011-9191-9
595,5,39,4,Iron oxide,I,,957.0,1.38106376e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,92.134834,N,Y,N,2011,21,10.1007/s10565-011-9191-9
596,5,39,4,Iron oxide,I,,957.0,3.45265941e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,92.134834,N,Y,N,2011,21,10.1007/s10565-011-9191-9
597,5,39,4,Iron oxide,I,,957.0,6.90531882e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,MTT,tetrazolium salt,cell metabolic activity,89.88764,N,Y,N,2011,21,10.1007/s10565-011-9191-9
598,6,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,95.4905033,N,Y,N,2011,21,10.1007/s10565-011-9191-9
599,6,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,99.20229125,N,Y,N,2011,21,10.1007/s10565-011-9191-9
600,6,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,95.435032,N,Y,N,2011,21,10.1007/s10565-011-9191-9
601,6,39,4,Iron oxide,I,,957.0,6.905318e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,95.40609,N,Y,N,2011,21,10.1007/s10565-011-9191-9
602,6,39,4,Iron oxide,I,,957.0,3.4526594e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,87.905336,N,Y,N,2011,21,10.1007/s10565-011-9191-9
603,6,39,4,Iron oxide,I,,957.0,6.9053188e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,87.873982,N,Y,N,2011,21,10.1007/s10565-011-9191-9
604,6,39,4,Iron oxide,I,,957.0,1.38106376e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,85.978293,N,Y,N,2011,21,10.1007/s10565-011-9191-9
605,6,39,4,Iron oxide,I,,957.0,3.45265941e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,91.55924,N,Y,N,2011,21,10.1007/s10565-011-9191-9
606,6,39,4,Iron oxide,I,,957.0,6.90531882e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,12,LDH,LDH activity assay kit,LDH leakage,87.791981,N,Y,N,2011,21,10.1007/s10565-011-9191-9
607,6,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,98.1869159,N,Y,N,2011,21,10.1007/s10565-011-9191-9
608,6,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,98.1579741,N,Y,N,2011,21,10.1007/s10565-011-9191-9
609,6,39,4,Iron oxide,I,,957.0,0.0,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,94.3931265,N,Y,N,2011,21,10.1007/s10565-011-9191-9
610,6,39,4,Iron oxide,I,,957.0,6.905318e-10,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,86.889961,N,Y,N,2011,21,10.1007/s10565-011-9191-9
611,6,39,4,Iron oxide,I,,957.0,3.4526594e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,86.861019,N,Y,N,2011,21,10.1007/s10565-011-9191-9
612,6,39,4,Iron oxide,I,,957.0,6.9053188e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,86.832077,N,Y,N,2011,21,10.1007/s10565-011-9191-9
613,6,39,4,Iron oxide,I,,957.0,1.38106376e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,83.069641,N,Y,N,2011,21,10.1007/s10565-011-9191-9
614,6,39,4,Iron oxide,I,,957.0,3.45265941e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,84.909859,N,Y,N,2011,21,10.1007/s10565-011-9191-9
615,6,39,4,Iron oxide,I,,957.0,6.90531882e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,83.01417,N,Y,N,2011,21,10.1007/s10565-011-9191-9
616,47,40,30,Iron oxide,I,,196.4,7.98904923e-08,,A549,L,H,Human,Epithelial,A,Lung,24,Alamar Blue,Alamar blue,cell metabolic activity,96.346596,N,Y,N,2013,22,10.3390/ijms140815546
617,47,40,30,Iron oxide,I,,196.4,7.98904923e-08,,A549,L,H,Human,Epithelial,A,Lung,72,Alamar Blue,Alamar blue,cell metabolic activity,95.28805,N,Y,N,2013,22,10.3390/ijms140815546
618,47,40,30,Iron oxide,I,,196.4,7.989049238e-07,,A549,L,H,Human,Epithelial,A,Lung,24,Alamar Blue,Alamar blue,cell metabolic activity,95.04239,N,Y,N,2013,22,10.3390/ijms140815546
619,47,40,30,Iron oxide,I,,196.4,7.989049238e-07,,A549,L,H,Human,Epithelial,A,Lung,72,Alamar Blue,Alamar blue,cell metabolic activity,91.270515,N,Y,N,2013,22,10.3390/ijms140815546
620,47,40,30,Iron oxide,I,,196.4,7.989049238e-06,,A549,L,H,Human,Epithelial,A,Lung,24,Alamar Blue,Alamar blue,cell metabolic activity,93.7379,N,Y,N,2013,22,10.3390/ijms140815546
621,47,40,30,Iron oxide,I,,196.4,7.989049238e-06,,A549,L,H,Human,Epithelial,A,Lung,72,Alamar Blue,Alamar blue,cell metabolic activity,88.29703,N,Y,N,2013,22,10.3390/ijms140815546
622,48,40,30,Iron oxide,I,,196.4,7.98904923e-08,,A549,L,H,Human,Epithelial,A,Lung,24,LDH,LDH activity assay kit,LDH leakage,97.32284,N,Y,N,2013,22,10.3390/ijms140815546
623,48,40,30,Iron oxide,I,,196.4,7.989049238e-07,,A549,L,H,Human,Epithelial,A,Lung,24,LDH,LDH activity assay kit,LDH leakage,91.02362,N,Y,N,2013,22,10.3390/ijms140815546
624,48,40,30,Iron oxide,I,,196.4,7.989049238e-06,,A549,L,H,Human,Epithelial,A,Lung,24,LDH,LDH activity assay kit,LDH leakage,-58.89764,N,Y,N,2013,22,10.3390/ijms140815546
625,49,40,30,Iron oxide,I,,196.4,7.98904923e-08,,A549,L,H,Human,Epithelial,A,Lung,24,Live/Dead,"propidium iodide, Annexin V",cell membrane integrity,99.49775452,N,Y,N,2013,22,10.3390/ijms140815546
626,49,40,30,Iron oxide,I,,196.4,7.989049238e-07,,A549,L,H,Human,Epithelial,A,Lung,24,Live/Dead,"propidium iodide, Annexin V",cell membrane integrity,99.48388338,N,Y,N,2013,22,10.3390/ijms140815546
627,49,40,30,Iron oxide,I,,196.4,7.989049238e-06,,A549,L,H,Human,Epithelial,A,Lung,24,Live/Dead,"propidium iodide, Annexin V",cell membrane integrity,98.21391782,N,Y,N,2013,22,10.3390/ijms140815546
628,50,41,31,Iron oxide,I,BSA,12.0,0.1751240589,,HeLa,L,H,Human,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,116.68046,N,Y,N,2009,23,10.1039/B901616C
629,50,41,31,Iron oxide,I,BSA,12.0,0.3502481177,,HeLa,L,H,Human,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,125.76342,N,Y,N,2009,23,10.1039/B901616C
630,50,41,31,Iron oxide,I,BSA,12.0,0.7004962355,,HeLa,L,H,Human,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,118.42655,N,Y,N,2009,23,10.1039/B901616C
631,50,41,31,Iron oxide,I,BSA,12.0,1.400992471,,HeLa,L,H,Human,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,106.33531,N,Y,N,2009,23,10.1039/B901616C
632,50,41,31,Iron oxide,I,BSA,12.0,2.801984942,,HeLa,L,H,Human,Epithelial,A,Cervix,6,Alamar Blue,Alamar blue,cell metabolic activity,60.540848,N,Y,N,2009,23,10.1039/B901616C
633,51,41,32,Iron oxide,I,BSA,12.0,0.1751240589,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,95.12975,N,Y,N,2009,23,10.1039/B901616C
634,51,41,32,Iron oxide,I,BSA,12.0,0.3502481177,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,97.29847,N,Y,N,2009,23,10.1039/B901616C
635,51,41,32,Iron oxide,I,BSA,12.0,0.7004962355,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,100.33076,N,Y,N,2009,23,10.1039/B901616C
636,51,41,32,Iron oxide,I,BSA,12.0,1.400992471,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,83.9204,N,Y,N,2009,23,10.1039/B901616C
637,51,41,32,Iron oxide,I,BSA,12.0,2.801984942,,MEF,L,A,Mouse,Fibroblast,E,embryo,6,Alamar Blue,Alamar blue,cell metabolic activity,52.38526,N,Y,N,2009,23,10.1039/B901616C
638,52,41,33,Iron oxide,I,BSA,12.0,0.1751240589,,HepG2,L,H,Human,Epithelial,A,liver,6,Alamar Blue,Alamar blue,cell metabolic activity,80.49265,N,Y,N,2009,23,10.1039/B901616C
